#timestamp x y z qx qy qz qw id
1716395739.499702 5.382416 8.826726 6.354345 0.005087 -0.001296 0.954494 0.298185 548
1716395740.833110 5.742996 8.600229 6.351576 0.004096 -0.003633 0.973664 0.227923 549
1716395741.833233 6.026769 8.455122 6.353500 0.001977 -0.001878 0.992749 0.120176 550
1716395743.032929 6.417765 8.422263 6.354045 0.002409 -0.002839 0.996992 -0.077411 551
1716395744.432392 6.883722 8.650227 6.362339 0.079483 0.014836 0.962052 -0.260613 552
1716395745.499260 7.310775 8.896135 6.373880 0.003505 -0.013134 0.965191 -0.261191 553
1716395746.566540 7.381777 8.930776 6.377046 -0.002540 -0.007871 0.934966 -0.354641 554
1716395747.633574 7.351724 8.989868 6.386724 0.000268 -0.015718 0.885666 -0.464057 555
1716395748.633836 7.451557 8.937268 6.379887 0.007091 0.004670 -0.816851 0.576786 556
1716395749.700742 7.367591 8.967603 6.381452 0.003083 0.016691 -0.726319 0.687148 557
1716395750.700869 7.378152 8.928907 6.386006 -0.001294 0.012278 -0.630962 0.775716 558
1716395751.701434 7.444953 8.980157 6.383767 0.008960 0.008044 -0.540286 0.841395 559
1716395754.702254 7.278132 9.211535 6.397771 0.002022 0.009552 -0.530092 0.847884 562
1716395755.702255 7.235587 9.534590 6.406381 0.013737 0.007039 -0.595045 0.803544 563
1716395756.768270 7.183487 9.492422 6.405014 0.005218 0.014142 -0.729508 0.683806 564
1716395757.769231 7.207878 9.572346 6.409967 -0.005028 0.025417 -0.832797 0.552972 565
1716395758.769804 7.340850 9.726455 6.414765 0.010327 0.010888 -0.851432 0.524251 566
1716395759.770043 7.331528 9.912601 6.422603 -0.006513 -0.018402 0.885496 -0.464236 567
1716395760.770578 7.494828 9.996716 6.426432 -0.010639 -0.006965 0.923223 -0.384055 568
1716395761.770906 7.626361 10.060996 6.434535 -0.007843 -0.008464 0.951997 -0.305889 569
1716395763.037883 7.773240 10.235581 6.436466 -0.004939 -0.021934 0.978630 -0.204396 570
1716395764.038120 7.795323 10.244390 6.442141 -0.004529 -0.026364 0.995782 -0.087759 571
1716395765.103973 7.781611 10.146305 6.439377 -0.005946 -0.005960 0.998006 0.062552 572
1716395766.303904 7.770215 10.197626 6.438123 0.000808 -0.012135 0.973065 0.230209 573
1716395767.503798 7.840513 10.222028 6.438182 -0.005625 -0.016774 0.918933 0.394016 574
1716395768.770868 7.832201 10.201659 6.440331 -0.004619 -0.021050 0.844123 0.535717 575
1716395770.838130 7.862547 9.946358 6.433075 0.008936 -0.002922 0.840479 0.541762 577
1716395771.838471 7.988695 9.685667 6.433678 0.009293 -0.012801 0.804661 0.593523 578
1716395772.838896 8.129541 9.427275 6.424141 0.002361 -0.014730 0.730225 0.683044 579
1716395774.039885 8.027528 9.094574 6.419905 0.008750 -0.009201 0.626130 0.779615 580
1716395775.040538 7.913713 8.868451 6.420641 0.007394 -0.009996 0.531377 0.847044 581
1716395776.307869 7.808712 8.499010 6.407672 0.000622 -0.014550 0.505074 0.862953 582
1716395777.308195 7.699369 8.298731 6.410218 0.001010 -0.016640 0.500052 0.865835 583
1716395778.308735 7.442241 8.123561 6.404791 0.008949 -0.011866 0.485357 0.874190 584
1716395779.308977 7.391186 7.824080 6.399043 -0.000116 -0.015392 0.487607 0.872928 585
1716395780.776055 7.248201 7.468713 6.398056 0.001910 -0.011837 0.587445 0.809176 586
1716395781.909688 7.154775 7.213496 6.395332 0.003447 -0.020839 0.686689 0.726644 587
1716395782.909837 7.080971 6.914900 6.385630 0.000753 -0.017451 0.744478 0.667418 588
1716395784.243497 7.140634 6.555951 6.384755 0.008439 -0.010326 0.744730 0.667233 589
1716395785.243513 7.274903 6.304242 6.379420 0.002321 -0.013846 0.764104 0.644940 590
1716395786.243673 7.200547 6.088612 6.380285 0.001589 -0.012332 0.816502 0.577209 591
1716395787.377280 7.197332 6.119390 6.383935 0.001882 -0.012384 0.883243 0.468748 592
1716395788.377524 7.219209 6.184221 6.384652 -0.008191 -0.025455 0.928897 0.369372 593
1716395789.377767 7.138540 6.053497 6.381509 -0.006900 -0.012263 0.957640 0.287625 594
1716395790.378241 7.132154 6.037381 6.374882 -0.010533 -0.017951 0.979618 0.199788 595
1716395791.378620 7.090223 6.040275 6.378104 -0.011321 -0.020509 0.990190 0.137747 596
1716395793.512532 7.265099 5.859786 6.376282 -0.007271 -0.007941 0.989480 0.144269 598
1716395794.512774 7.546080 5.831810 6.384910 -0.005884 -0.014081 0.989722 0.142189 599
